CustomerID,Age,Gender,Income_Level,Eyewear_Type,Brand,Price,Purchase_Frequency,Customer_Tenure_Days,Customer_Satisfaction,CLV,CLV_Class
CUST00075,35,Male,Medium,Sunglasses,Ray-Ban,1130.57,4,1210,0.72,10794.0,High
CUST00076,43,Female,Medium,Optical Glasses,Persol,1089.37,1,366,0.95,1037.74,Low
CUST00077,61,Male,Medium,Sunglasses,Ray-Ban,1267.38,2,1244,0.86,7429.56,Medium
CUST00078,51,Female,Medium,Sunglasses,Vogue Eyewear,1256.98,5,961,0.81,13403.37,High
CUST00079,27,Male,High,Sunglasses,Persol,1167.71,4,965,0.93,11484.51,High
CUST00080,53,Female,Medium,Sunglasses,Oakley,1177.66,5,1552,0.67,16775.04,High
CUST00081,31,Female,Medium,Optical Glasses,Persol,1262.39,4,50,0.64,442.7,Low
CUST00082,48,Female,Low,Sunglasses,Persol,1345.34,1,1663,0.6,3677.75,Medium
CUST00083,65,Male,Low,Optical Glasses,Ray-Ban,1230.16,3,1746,0.76,13416.77,High
CUST00084,32,Male,Medium,Optical Glasses,Persol,1021.19,5,685,0.99,9486.58,High
CUST00085,25,Female,Low,Optical Glasses,Oliver Peoples,1166.79,2,1739,0.96,10673.35,High
CUST00086,31,Male,Medium,Sunglasses,Persol,1138.93,5,521,0.73,5933.83,Medium
CUST00087,40,Female,Low,Optical Glasses,Ray-Ban,1042.05,3,1190,0.56,5707.58,Medium
CUST00088,57,Female,Medium,Sunglasses,Oliver Peoples,1274.69,1,1289,0.94,4231.48,Medium
CUST00089,38,Female,High,Optical Glasses,Oakley,1286.23,2,1056,0.96,7144.81,Medium
CUST00090,33,Female,Medium,Optical Glasses,Vogue Eyewear,1308.93,2,52,0.59,220.04,Low
CUST00091,62,Male,Low,Sunglasses,Persol,1051.36,1,170,0.94,460.29,Low
CUST00092,35,Female,Medium,Optical Glasses,Oliver Peoples,1223.62,5,1091,0.72,13166.82,High
CUST00093,64,Female,High,Sunglasses,Oliver Peoples,1199.06,2,1215,0.51,4071.22,Medium
CUST00094,41,Male,Medium,Optical Glasses,Oakley,1246.11,5,251,0.97,4156.03,Medium
CUST00095,43,Female,Low,Sunglasses,Oakley,1219.46,5,772,0.52,6706.03,Medium
CUST00096,42,Male,Low,Optical Glasses,Vogue Eyewear,1198.12,1,1463,0.52,2497.21,Low
CUST00097,62,Male,Medium,Optical Glasses,Vogue Eyewear,1180.09,3,1981,0.98,18830.16,High
CUST00098,58,Male,Low,Sunglasses,Ray-Ban,1366.03,3,49,0.61,335.59,Low
CUST00099,46,Female,High,Optical Glasses,Vogue Eyewear,1070.73,5,1611,0.78,18430.93,High
CUST00100,32,Male,High,Optical Glasses,Vogue Eyewear,1174.02,1,1155,0.97,3603.6,Medium
CUST00101,62,Female,Low,Optical Glasses,Oliver Peoples,1362.21,3,1876,0.97,20374.03,High
CUST00102,18,Female,Medium,Optical Glasses,Persol,1078.34,5,934,0.59,8140.14,Medium
CUST00103,42,Male,Low,Optical Glasses,Persol,1085.99,2,1540,0.76,6964.62,Medium
CUST00104,24,Male,High,Sunglasses,Vogue Eyewear,1310.09,2,1360,0.5,4881.43,Medium
CUST00105,26,Female,Medium,Optical Glasses,Ray-Ban,986.41,4,1110,0.55,6599.49,Medium
CUST00106,41,Male,Medium,Optical Glasses,Ray-Ban,1299.09,4,1901,0.97,26251.87,High
CUST00107,18,Female,Medium,Optical Glasses,Persol,1126.55,4,1994,0.71,17478.38,High
CUST00108,61,Male,Medium,Optical Glasses,Oakley,1261.5,3,707,0.58,4251.7,Medium
CUST00109,25,Male,Medium,Sunglasses,Oliver Peoples,1016.89,2,1889,0.82,8630.92,Medium
CUST00110,41,Female,Medium,Sunglasses,Vogue Eyewear,1377.76,2,1193,0.59,5313.77,Medium
CUST00111,28,Male,Medium,Sunglasses,Oliver Peoples,1017.41,3,1527,0.99,12641.5,High
CUST00112,68,Male,Medium,Sunglasses,Vogue Eyewear,1308.74,2,146,0.84,879.47,Low
CUST00113,34,Male,Low,Sunglasses,Vogue Eyewear,1023.68,2,1191,0.68,4542.78,Medium
CUST00114,25,Male,Low,Optical Glasses,Persol,1471.25,5,350,0.69,4867.22,Medium
CUST00115,52,Female,Medium,Sunglasses,Oliver Peoples,1189.29,2,297,0.96,1858.03,Low
CUST00116,52,Female,Medium,Optical Glasses,Oliver Peoples,1492.63,5,465,0.95,9032.46,High
CUST00117,50,Male,Medium,Sunglasses,Oakley,1077.17,4,795,0.97,9103.12,High
CUST00118,22,Female,High,Optical Glasses,Oakley,1133.6,1,1104,0.73,2502.99,Low
CUST00119,59,Female,Low,Optical Glasses,Oliver Peoples,1381.61,5,1011,0.93,17794.95,High
CUST00120,56,Male,Low,Sunglasses,Oakley,986.07,2,349,0.74,1395.41,Low
CUST00121,58,Male,Low,Optical Glasses,Oakley,1095.11,4,1750,0.82,17221.73,High
CUST00122,45,Female,Medium,Optical Glasses,Vogue Eyewear,1274.26,1,1658,0.75,4341.21,Medium
CUST00123,24,Female,Medium,Optical Glasses,Persol,1047.18,1,1584,0.8,3635.58,Medium
CUST00124,26,Female,Medium,Sunglasses,Vogue Eyewear,1278.27,4,1723,0.75,18102.4,High
CUST00125,25,Female,Low,Optical Glasses,Oakley,1225.56,4,761,0.58,5928.08,Medium
CUST00126,29,Male,Medium,Optical Glasses,Vogue Eyewear,972.95,1,1778,0.55,2606.71,Low
CUST00127,51,Female,High,Sunglasses,Vogue Eyewear,1345.17,1,1391,0.97,4972.6,Medium
CUST00128,50,Female,High,Optical Glasses,Ray-Ban,1010.64,2,774,0.75,3214.67,Low
CUST00129,65,Female,High,Sunglasses,Vogue Eyewear,1315.69,5,53,0.97,926.57,Low
CUST00130,40,Male,Medium,Sunglasses,Vogue Eyewear,1219.27,5,1335,0.84,18729.99,High
CUST00131,41,Male,High,Optical Glasses,Persol,1131.75,1,1089,0.54,1823.39,Low
CUST00132,54,Male,Low,Optical Glasses,Oliver Peoples,1034.19,1,904,0.6,1536.83,Low
CUST00133,52,Female,Low,Sunglasses,Ray-Ban,1249.39,3,853,0.88,7708.29,Medium
CUST00134,61,Male,Low,Optical Glasses,Ray-Ban,1069.12,1,749,0.59,1294.4,Low
CUST00135,57,Male,Medium,Sunglasses,Ray-Ban,1381.19,5,855,0.5,8088.48,Medium
CUST00136,39,Male,High,Sunglasses,Ray-Ban,1386.67,2,1553,0.56,6608.0,Medium
CUST00137,44,Male,Low,Optical Glasses,Persol,1446.31,3,573,0.74,5040.53,Medium
CUST00138,52,Female,Medium,Optical Glasses,Oliver Peoples,1242.13,5,287,0.58,2832.4,Low
CUST00139,18,Female,Medium,Sunglasses,Persol,1139.35,2,1391,0.52,4515.7,Medium
CUST00140,52,Female,High,Sunglasses,Ray-Ban,1155.46,3,206,0.87,1702.04,Low
CUST00141,54,Male,Medium,Optical Glasses,Oliver Peoples,1144.49,3,1550,0.99,14434.68,High
CUST00142,64,Female,High,Optical Glasses,Persol,1237.2,3,1483,0.99,14929.48,High
CUST00143,31,Male,Medium,Optical Glasses,Oliver Peoples,1265.49,3,1546,0.95,15276.37,High
CUST00144,20,Male,Medium,Sunglasses,Persol,1384.73,3,624,0.51,3622.0,Medium
CUST00145,18,Male,Medium,Optical Glasses,Oliver Peoples,1203.02,3,919,0.62,5633.89,Medium
CUST00146,22,Male,Medium,Optical Glasses,Persol,989.52,4,1876,0.57,11595.76,High
CUST00147,43,Male,Low,Optical Glasses,Ray-Ban,1138.89,2,1795,0.82,9185.38,High
CUST00148,31,Female,Medium,Optical Glasses,Ray-Ban,1433.38,5,297,0.92,5365.16,Medium
CUST00149,56,Female,Medium,Optical Glasses,Ray-Ban,966.51,1,746,0.79,1560.56,Low
CUST00150,44,Female,Medium,Sunglasses,Persol,1310.87,5,476,0.67,5726.89,Medium
CUST00151,26,Male,Medium,Sunglasses,Oliver Peoples,1141.41,4,704,0.96,8453.81,Medium
CUST00152,32,Male,Medium,Sunglasses,Oliver Peoples,1067.48,4,269,0.75,2360.15,Low
CUST00153,32,Male,Medium,Sunglasses,Oakley,1259.34,3,146,0.59,891.61,Low
CUST00154,43,Female,Low,Optical Glasses,Vogue Eyewear,1434.14,4,1639,0.77,19834.82,High
CUST00155,59,Female,Medium,Optical Glasses,Ray-Ban,1251.07,5,1459,0.51,12752.17,High
CUST00156,30,Female,Low,Sunglasses,Ray-Ban,1160.62,4,295,0.52,1951.11,Low
CUST00157,68,Male,Low,Optical Glasses,Ray-Ban,1005.59,5,1359,0.81,15163.61,High
CUST00158,49,Female,Medium,Optical Glasses,Oakley,1185.17,3,1472,0.86,12331.48,High
CUST00159,56,Male,Low,Sunglasses,Oakley,1000.18,3,685,0.57,3209.76,Low
CUST00160,66,Female,High,Optical Glasses,Oakley,1153.51,4,833,0.77,8108.2,Medium
CUST00161,69,Female,Medium,Optical Glasses,Ray-Ban,1190.54,1,1626,0.89,4720.21,Medium
CUST00162,49,Female,High,Sunglasses,Oliver Peoples,845.92,3,616,0.94,4025.93,Medium
CUST00163,21,Female,Low,Sunglasses,Ray-Ban,1408.25,2,1070,0.74,6109.88,Medium
CUST00164,47,Male,Medium,Sunglasses,Oakley,1014.22,2,1910,0.56,5944.16,Medium
CUST00165,54,Female,Medium,Sunglasses,Oakley,1172.11,3,1950,0.53,9956.51,High
CUST00166,40,Female,High,Sunglasses,Vogue Eyewear,1280.07,4,41,0.93,534.89,Low
CUST00167,56,Male,Medium,Optical Glasses,Persol,1396.28,3,544,0.54,3371.27,Low
CUST00168,62,Male,Low,Optical Glasses,Vogue Eyewear,1081.18,4,912,0.91,9833.35,High
CUST00169,32,Male,High,Optical Glasses,Vogue Eyewear,823.62,5,614,0.72,4987.75,Medium
CUST00170,60,Male,Medium,Sunglasses,Ray-Ban,1361.8,1,112,0.72,300.86,Low
CUST00171,46,Male,Low,Sunglasses,Persol,1012.58,1,1712,0.76,3609.56,Medium
CUST00172,53,Female,Medium,Optical Glasses,Persol,1253.92,5,412,0.57,4033.84,Medium
CUST00173,30,Male,Medium,Optical Glasses,Ray-Ban,1263.24,5,655,0.87,9861.06,High
CUST00174,49,Male,Low,Sunglasses,Oliver Peoples,712.2,5,113,0.65,716.59,Low
CUST00175,24,Female,Medium,Sunglasses,Ray-Ban,957.77,1,1640,0.8,3442.72,Low
CUST00176,68,Female,Low,Optical Glasses,Oliver Peoples,1130.88,3,1013,0.5,4707.87,Medium
CUST00177,39,Female,Medium,Sunglasses,Oliver Peoples,812.38,2,1843,0.64,5250.51,Medium
CUST00178,45,Male,Medium,Sunglasses,Persol,999.29,4,542,0.52,3086.46,Low
CUST00179,19,Female,Medium,Optical Glasses,Ray-Ban,1218.43,2,1618,0.66,7129.52,Medium
CUST00180,59,Female,Medium,Sunglasses,Ray-Ban,1186.73,4,1562,0.56,11375.96,High
CUST00181,62,Male,Low,Sunglasses,Persol,1245.4,1,201,0.54,370.34,Low
CUST00182,23,Male,Low,Optical Glasses,Vogue Eyewear,1267.38,3,520,0.92,4983.41,Medium
CUST00183,45,Female,Low,Optical Glasses,Ray-Ban,947.73,2,295,0.68,1041.72,Low
CUST00184,45,Female,Medium,Optical Glasses,Oakley,1007.27,5,1512,0.91,18985.25,High
CUST00185,61,Female,Medium,Optical Glasses,Oakley,1314.2,5,1061,0.95,18145.86,High
CUST00186,61,Female,High,Sunglasses,Ray-Ban,1428.65,5,174,0.75,2553.96,Low
CUST00187,37,Female,Low,Sunglasses,Oliver Peoples,1054.89,2,1763,0.78,7948.61,Medium
CUST00188,47,Female,Medium,Optical Glasses,Persol,1238.84,3,1816,0.82,15162.59,High
CUST00189,28,Male,Medium,Optical Glasses,Oliver Peoples,1321.06,3,1188,0.82,10577.46,High
CUST00190,45,Male,Medium,Sunglasses,Oakley,1235.63,5,666,0.77,8680.22,Medium
CUST00191,42,Male,High,Sunglasses,Oakley,1162.69,2,860,0.8,4383.18,Medium
CUST00192,56,Female,Low,Sunglasses,Persol,1103.9,5,892,0.72,9711.9,High
CUST00193,50,Female,Low,Optical Glasses,Oakley,1497.79,4,1474,0.96,23226.66,High
CUST00194,18,Female,Medium,Sunglasses,Vogue Eyewear,1214.43,4,97,0.86,1110.22,Low
CUST00195,44,Male,Medium,Optical Glasses,Oakley,1258.34,2,1629,0.66,7413.11,Medium
CUST00196,69,Female,Low,Sunglasses,Oliver Peoples,1248.65,4,1307,0.67,11982.8,High
CUST00197,30,Male,Low,Optical Glasses,Oliver Peoples,1078.14,1,804,0.73,1733.65,Low
CUST00198,58,Male,Medium,Optical Glasses,Vogue Eyewear,1207.62,1,429,0.52,738.07,Low
CUST00199,20,Female,Medium,Optical Glasses,Oliver Peoples,1151.66,1,1409,1.0,4445.72,Medium
CUST00200,56,Female,Low,Optical Glasses,Oliver Peoples,1148.98,4,1792,0.73,16471.78,High
CUST00201,23,Female,Medium,Optical Glasses,Oliver Peoples,1247.54,3,811,0.89,7401.06,Medium
CUST00202,25,Male,Medium,Sunglasses,Ray-Ban,1062.65,1,279,0.58,471.12,Low
CUST00203,44,Male,Medium,Sunglasses,Vogue Eyewear,1019.28,5,1217,0.8,13594.12,High
CUST00204,26,Male,High,Optical Glasses,Vogue Eyewear,1275.41,3,914,0.69,6611.1,Medium
CUST00205,54,Male,Low,Optical Glasses,Oakley,1120.26,2,1894,0.94,10928.58,High
CUST00206,50,Female,High,Optical Glasses,Vogue Eyewear,1148.25,4,1320,0.97,16111.99,High
CUST00207,68,Female,Medium,Optical Glasses,Persol,910.68,5,413,0.81,4173.28,Medium
CUST00208,59,Female,Medium,Optical Glasses,Vogue Eyewear,1344.46,2,1438,0.53,5614.61,Medium
CUST00209,61,Male,Medium,Optical Glasses,Persol,1278.6,4,1318,0.73,13481.56,High
CUST00210,41,Female,Medium,Optical Glasses,Oliver Peoples,1306.21,4,566,0.51,4132.06,Medium
CUST00211,32,Male,High,Optical Glasses,Persol,1258.1,5,1669,0.76,21860.61,High
CUST00212,49,Female,High,Optical Glasses,Ray-Ban,972.61,4,812,0.75,6491.17,Medium
CUST00213,49,Male,Low,Optical Glasses,Oliver Peoples,1234.35,4,1818,0.71,17460.54,High
CUST00214,41,Male,Low,Optical Glasses,Persol,1108.63,4,599,0.67,4875.91,Medium
CUST00215,58,Female,Medium,Optical Glasses,Oliver Peoples,1055.57,3,53,0.79,363.26,Low
CUST00216,69,Female,High,Optical Glasses,Ray-Ban,1275.01,1,1637,0.59,3373.82,Low
CUST00217,66,Male,Medium,Optical Glasses,Oliver Peoples,1448.78,5,1425,0.51,14423.3,High
CUST00218,66,Male,Medium,Sunglasses,Oliver Peoples,1424.0,3,1658,0.89,17270.82,High
CUST00219,69,Female,Medium,Optical Glasses,Vogue Eyewear,1293.32,5,996,0.89,15704.8,High
CUST00220,29,Male,Medium,Sunglasses,Oakley,1195.47,3,1180,0.79,9159.59,High
CUST00221,56,Male,Medium,Sunglasses,Persol,1167.67,4,1227,0.92,14445.07,High
CUST00222,19,Male,Medium,Sunglasses,Oakley,1064.32,4,47,0.76,416.63,Low
CUST00223,20,Male,High,Sunglasses,Ray-Ban,1159.54,3,1504,0.5,7166.91,Medium
CUST00224,66,Female,Medium,Optical Glasses,Ray-Ban,1336.28,4,1116,0.57,9315.45,High
CUST00225,54,Female,Medium,Optical Glasses,Oliver Peoples,1473.47,1,1676,0.73,4939.07,Medium
CUST00226,66,Female,Medium,Optical Glasses,Oakley,1077.53,5,1205,0.93,16541.56,High
CUST00227,34,Female,Medium,Sunglasses,Persol,900.75,4,1905,0.61,11470.87,High
CUST00228,66,Male,Low,Sunglasses,Persol,1120.37,2,1724,0.52,5503.5,Medium
CUST00229,19,Male,Low,Sunglasses,Oliver Peoples,1335.59,3,503,0.71,3920.38,Medium
CUST00230,19,Male,Medium,Optical Glasses,Persol,1510.84,3,1560,0.53,10267.09,High
CUST00231,45,Male,Medium,Optical Glasses,Vogue Eyewear,1396.51,4,1987,0.78,23719.4,High
CUST00232,40,Male,Medium,Optical Glasses,Oakley,1392.79,3,1804,0.53,10945.27,High
CUST00233,54,Female,Low,Sunglasses,Ray-Ban,1072.57,2,779,0.51,2334.91,Low
CUST00234,49,Female,Medium,Optical Glasses,Persol,1076.79,3,1864,0.97,16002.1,High
CUST00235,50,Male,Medium,Sunglasses,Persol,1001.43,2,1061,0.83,4832.27,Medium
CUST00236,18,Female,Medium,Optical Glasses,Persol,1100.18,3,253,0.56,1281.15,Low
CUST00237,36,Female,Low,Optical Glasses,Oliver Peoples,1337.11,3,229,0.78,1963.02,Low
CUST00238,19,Female,Medium,Sunglasses,Ray-Ban,1443.67,2,162,0.63,807.35,Low
CUST00239,61,Female,High,Sunglasses,Oakley,1251.83,5,877,0.88,13234.42,High
CUST00240,43,Female,Low,Sunglasses,Persol,1161.73,1,568,0.91,1645.14,Low
CUST00241,49,Female,Medium,Optical Glasses,Vogue Eyewear,1039.99,2,411,0.75,1756.59,Low
CUST00242,23,Female,Medium,Optical Glasses,Oliver Peoples,1183.12,1,1244,0.7,2822.63,Low
CUST00243,49,Female,Medium,Optical Glasses,Oakley,1230.47,3,260,0.66,1735.47,Low
CUST00244,21,Male,Medium,Optical Glasses,Persol,980.54,5,734,0.52,5126.75,Medium
CUST00245,28,Male,Medium,Optical Glasses,Oakley,1338.22,2,604,0.78,3454.59,Low
CUST00246,34,Female,Medium,Optical Glasses,Oliver Peoples,1136.41,5,930,0.75,10858.16,High
CUST00247,55,Male,Medium,Optical Glasses,Vogue Eyewear,1329.21,2,1376,0.61,6113.35,Medium
CUST00248,41,Male,Low,Sunglasses,Persol,1198.36,4,81,0.77,819.09,Low
CUST00249,22,Female,Low,Sunglasses,Vogue Eyewear,1244.58,2,366,0.73,1822.07,Low
CUST00250,69,Male,Medium,Optical Glasses,Oliver Peoples,1094.71,1,1022,0.63,1931.07,Low
CUST00251,51,Female,Low,Optical Glasses,Vogue Eyewear,1148.31,4,624,0.87,6831.72,Medium
CUST00252,23,Female,High,Optical Glasses,Oliver Peoples,1296.31,3,1953,0.62,12901.23,High
CUST00253,39,Female,High,Optical Glasses,Vogue Eyewear,1180.28,2,362,0.73,1709.05,Low
CUST00254,28,Male,High,Sunglasses,Oakley,1034.25,1,1488,0.77,3246.58,Low
CUST00255,65,Male,High,Sunglasses,Oakley,1216.74,3,1807,0.91,16444.69,High
CUST00256,33,Female,Medium,Optical Glasses,Oliver Peoples,1257.85,1,712,0.71,1742.11,Low
CUST00257,50,Female,High,Optical Glasses,Oakley,1405.93,3,724,0.6,5019.75,Medium
CUST00258,26,Female,Low,Sunglasses,Vogue Eyewear,1372.88,2,503,0.51,1929.78,Low
CUST00259,23,Male,Low,Optical Glasses,Vogue Eyewear,1190.3,5,838,0.63,8608.31,Medium
CUST00260,33,Male,Medium,Sunglasses,Persol,1117.9,3,1724,0.88,13939.63,High
CUST00261,46,Female,Low,Optical Glasses,Oliver Peoples,1165.75,5,1560,0.91,22669.85,High
CUST00262,20,Male,High,Optical Glasses,Oakley,1121.44,3,832,0.8,6135.04,Medium
CUST00263,37,Female,Medium,Sunglasses,Oliver Peoples,1275.92,5,749,0.97,12698.55,High
CUST00264,53,Male,Medium,Sunglasses,Oakley,1356.25,2,854,0.76,4823.35,Medium
CUST00265,36,Male,Low,Sunglasses,Persol,1385.98,1,1461,0.74,4105.31,Medium
CUST00266,43,Male,Medium,Optical Glasses,Vogue Eyewear,1138.17,2,1874,0.92,10752.31,High
CUST00267,20,Male,Low,Optical Glasses,Vogue Eyewear,1123.2,3,827,0.58,4428.12,Medium
CUST00268,36,Female,High,Sunglasses,Ray-Ban,1136.94,4,408,0.51,2592.6,Low
CUST00269,37,Female,Low,Optical Glasses,Oliver Peoples,910.19,1,793,0.94,1858.83,Low
CUST00270,49,Male,Medium,Sunglasses,Oakley,1019.58,5,750,0.77,8065.86,Medium
CUST00271,24,Female,Low,Sunglasses,Ray-Ban,1194.82,1,234,0.87,666.41,Low
CUST00272,69,Male,Low,Sunglasses,Oliver Peoples,1256.89,1,387,0.81,1079.44,Low
CUST00273,58,Female,Medium,Sunglasses,Oakley,1273.68,2,278,0.83,1610.35,Low
